ItemID,ItemName
1,Tofu salad A
2,chicken salad A
3,veg garden wrap A
4,salami salad A
5,veg hara bhara burger A
6,veg crispy burger A
7,veg delight burger A
8,veg spicy burger A
9,mini steak burger A
10,chicken strip burger A
11,chicken peri peri burger A
12,chicken delight burger A
13,spring rolls B
14,white sauce pasta B
15,red sauce pasta B
16,maggi B
17,bhel puri B
18,burger B
19,veg thali C
20,non-veg thali C
21,frech fries C
22,paneer tikka C
23,chicken wings C
24,kadai chicken C
25,tandoori chicken C
26,butter chicken C
27,keema naan with gravy C
28,shahi panner C
29,paneer tikaa butter masala C
30,dal makhani C
31,chicken salami burger C
32,truck burger C
33,margherita D
34,farmer's special D
35,mexican delight D
36,classical paneer D
37,pizza nation spl D
38,chicken salami D
39,BBQ chicken D
40,tandoori chicken D
41,chicken hawaiian D
42,mutton keema D
43,smoked chicken D
44,chicken double maza E
45,veg doule maza E
46,Breast Wrap E
47,French fries E
48,veg burger E
49,veg wrap E
50,paneer & cheeze E
51,seekh kabab E
52,paneer wrap E
53,chicken burger E
54,cispy chicken E
55,mutton wrap E
56,ham & cheeze E
57,cheese omlet F
58,french toast F
59,paneer hara bhara F
60,juju's herbies F
61,juju's bun samosa F
62,bombay sandwich F
63,salsa paneer F
64,minty chicken F
65,garlic bread F
66,nachos F
67,Thali G
68,samosa chat G
69,Grilled patty G
70,panner G
71,dal makhani G
72,cheeze naan with gravy G
73,Amritsari kulcha G
74,Garlic Toast G
75,Chillic garlic noodles G
76,cheese noodles G
77,patty G
78,bread pakora G
79,macroni G
80,veg biryani H
81,chicken biryani H
82,Garlic Chowmein H
83,chicken H
84,panner roll H
85,chicken roll H
86,chicken kathi roll H
87,veg momos I
88,non-veg momos I
89,veg soup I
90,non-veg soup I
91,cheese corn sandwich J
92,cheese corn sandwich extra cheese J
93,onion capsicum sandwich J
94,milk shake J
95,cold coffee J
